20000, 2500, 9000, 7000; 1,0,0,0 
20000, 2500, 9000, 7000; 1,0,0,0  
18000, 3500, 6000, 5000; 1,0,0,0  
21000, 2500, 8000, 3000; 1,0,0,0  
12000, 2500, 8000, 900; 1,0,0,0  
28000, 4500, 11000, 8000; 1,0,0,0  
16000, 2200, 7000, 6000; 1,0,0,0  
35000, 12000, 11000, 4000; 0,1,0,0 
50000, 12000, 15000, 3000; 0,1,0,0  
20000, 6000, 11000, 3000; 0,1,0,0  
30000, 18000, 7000, 2500; 0,1,0,0  
55000, 12000, 15000, 9000; 0,1,0,0  
85000, 32000, 31000, 14000; 0,1,0,0 
43500, 8000, 15000, 6000; 0,1,0,0  
25000, 2500, 15000, 3500; 0,0,1,0  
29000, 10000, 9000, 3200; 0,0,1,0  
38000, 3500, 11000, 11100; 0,0,1,0  
25000, 2500, 15000, 3500; 0,0,1,0 
46000, 4700, 22000, 2500; 0,0,1,0  
22000, 3200, 7000, 5500; 0,0,1,0 
49000, 11000, 8000, 4100; 0,0,1,0 
34000, 3200, 11000, 6100; 0,0,1,0  
25000, 2500, 14000, 2300; 0,0,1,0  
38000, 7500, 16000, 9500; 0,0,1,0  
21000, 4500, 10000, 5500; 0,0,1,0 
100000, 15000, 25000, 18000; 0,0,0,1  
80000, 15000, 25000, 8000; 0,0,0,1  
120000, 12000, 18000, 22000; 0,0,0,1 
200000, 38000, 50000, 19000; 0,0,0,1  
250000, 19000, 66000, 70000; 0,0,0,1  
130000, 30000, 35000, 46000; 0,0,0,1  
890000, 23000, 20000, 25000; 0,0,0,1  
1530000, 25000, 29000, 11000; 0,0,0,1  
100000, 15000, 25000, 18000; 0,0,0,1  
